Date,Owner,Title,FU Reply
2017-06-19 11:30:00,PutraKucink,"Uang “THR” tak Sesuai Keinginan, Sejumlah Preman Buat Onar dan Ancam Pengunjung Cafe","Ada istilah lu makan, berak, kencing, nyari duit disini, apa salahnya lu berbagi sama warga sini..ya intinya saling ngehormatin aja lah, kalo emang dirasa ga cocok monggo angkat kaki, jangan dibikin repot dan heboh pake cara cara menjelekkan begini :shakehand2 Berbagi sama preman?"
2017-06-18 13:43:00,PutraKucink,"Geram, Dirut PLN Minta Penyebar Isu Naiknya Tarif Listrik 450 VA Ditangkap",Rezim Senggol Ciduk:wkwkwk Kalo meresahkan harus segera diciduk lah bodoh
2017-06-18 09:19:00,merdeka.boy,Ini proyek fiktif pembangunan hotel yang dijanjikan Yusuf Mansyur,Investasi bodong boleh asalkan seiman
2017-06-16 21:53:00,karikai04,"Aduannya Dicueki Menkopolhukam, Alumni 212: Suara Umat Enggak Dianggap",Modaro ae cuk
2017-06-16 19:27:00,karikai04,"Rangkul Kelompok Islam, Panglima TNI Sedang Bersiap Tantang Jokowi di Pilpres 2019",Ini orang tiap hari dipromosiin sama MCA
2017-06-16 19:26:00,si.tamfan,"Habib Rizieq: Saya ke Tanah Suci Bukan Lari, Tapi Perlawanan",Melawan dengan cara kabur
2017-06-16 19:01:00,frances19,Pesan Rizieq Ke Jokowi : Berdamai Atau Ada Revolusi Di RI.,Ajakan makar
2017-06-16 10:48:00,karikai04,Pengacara Investor Heran Mengapa Ustaz Yusuf Mansyur Bisa Kebal Hukum,Ini ulama palsu tukang tipu
2017-06-16 09:52:00,miakoda,"Asgardia, Negara Antariksa Pertama, akan Segera Dibangun",No FU Reply
2017-06-15 19:14:00,mtx98,Rizieq Tak Bisa Pulang karena Cuma Punya Tiket Pesawat Qatar,"Kasian setiap hari nastaik berfantasi coli menghayal tentang habib rizieq tapi ternyata beliau baik baik aja, sehat wal afiat, bahagia disana, silahkan nunggu sampe gila nastaik :D Modaro wae cok"
2017-06-15 18:07:00,mouse.slimy2,Bahaya Tren Vaksin Diganti dengan Cara Arab,Kalo panasbung pasti pilih cara arab
2017-06-15 15:44:00,frances19,"Era Jokowi, Sri Mulyani Incar Facebook Dan Twitter Untuk Bayar Pajak.",Terima kasih sby & prabowo
2017-06-15 15:36:00,seputarahy,"Tatap Pilkada 2018, SBY dan AHY Tour de Java Naik Kereta",Kemana mana sama papi mami
